(-0.119126,-0.812502,-0.570658)
(0.421989,-0.625540,0.656220)
(0.749853,0.014135,0.661454)
(-0.938478,-0.344034,-0.030000)
(-0.470394,0.830223,-0.299097)
(-0.079686,-0.903925,0.420202)
(0.741142,-0.336043,-0.581192)
(0.538421,0.320733,0.779252)
(-0.966275,-0.026670,-0.256129)
(0.531717,-0.826607,0.184385)
(-0.854824,-0.344868,-0.387739)
(-0.209921,0.976397,-0.050822)
(0.637968,0.348763,-0.686557)
(-0.536567,0.842239,0.052237)
(-0.295909,-0.697469,0.652668)
(-0.484352,-0.178112,-0.856550)
(-0.500246,-0.720179,-0.480724)
(-0.327920,0.880143,0.343244)
(-0.650434,0.657715,0.379930)
(-0.095932,-0.420725,0.902102)
(0.770742,0.026261,-0.636605)
(0.610326,0.637693,-0.469947)
(0.264526,-0.799926,-0.538650)
(0.364403,0.920064,0.143853)
(-0.298413,-0.916259,-0.267242)
(-0.739283,-0.635307,-0.223264)
(0.448213,-0.035989,0.893202)
(0.063648,-0.691951,0.719134)
(-0.945678,0.305913,-0.110044)
(0.948800,0.078115,0.306065)
(0.279358,0.831648,-0.479918)
(0.659076,0.729377,0.183381)
(0.868224,-0.256502,0.424728)
(-0.395258,0.657120,0.641844)
(-0.250379,0.100018,-0.962968)
(-0.630532,-0.430741,-0.645672)
(0.410734,-0.890913,-0.193834)
(0.941523,-0.059732,-0.331613)
(-0.723786,-0.248142,0.643862)
(0.976245,0.206757,-0.064795)
(0.865472,-0.482551,0.134542)
(-0.744130,0.594313,-0.305060)
(-0.992098,0.004283,0.125391)
(-0.423011,0.354062,0.834087)
(-0.795927,0.603773,0.044247)
(-0.441297,-0.834156,0.330818)
(-0.765983,-0.621608,0.163930)
(0.009661,0.696855,-0.717147)
(0.066940,-0.598214,-0.798535)
(0.708161,-0.699751,-0.094111)
(-0.535498,-0.844374,-0.016570)
(0.061300,0.382843,-0.921777)
(-0.289621,0.444769,-0.847526)
(-0.138166,0.197827,0.970451)
(-0.318266,-0.104772,0.942194)
(0.986679,-0.159722,0.030895)
(0.625693,-0.324499,0.709372)
(-0.308209,-0.553076,-0.774025)
(-0.145094,-0.278881,-0.949301)
(-0.897490,0.344391,0.275511)
(0.580432,0.626090,0.520682)
(-0.640498,-0.580206,0.503113)
(-0.579040,0.183532,-0.794373)
(0.289957,0.830060,0.476367)
(-0.780269,-0.068273,-0.621706)
(-0.871231,0.050237,0.488295)
(0.216149,0.266103,0.939398)
(0.223881,-0.298518,-0.927774)
(-0.050642,0.805441,0.590508)
(0.184344,-0.977879,0.098846)
(-0.607940,0.050730,0.792361)
(-0.076247,0.538353,0.839263)
(0.277129,-0.857347,0.433770)
(0.682947,-0.597815,0.419763)
(0.876455,-0.410540,-0.251561)
(0.608132,-0.660812,-0.439890)
(0.274161,0.592908,0.757163)
(0.080768,-0.096375,0.992063)
(0.399508,0.193660,-0.896041)
(-0.447969,-0.404906,0.797104)
(0.861773,0.320660,-0.393097)
(0.443227,-0.518267,-0.731402)
(-0.179072,-0.980833,0.076815)
(-0.706568,0.373885,0.600809)
(0.799989,0.581720,-0.147038)
(0.526558,-0.139663,-0.838589)
(0.156259,0.976749,-0.146779)
(-0.605932,0.497757,-0.620552)
(-0.090652,0.909600,-0.405474)
(0.876027,0.444991,0.185904)
(-0.893456,-0.305636,0.329126)
(0.010556,0.971000,0.238848)
(0.519192,0.835804,-0.178523)
(0.788871,0.341107,0.511203)
(0.060249,-0.964132,-0.258496)
(-0.842570,0.258058,-0.472739)
(-0.334104,0.721598,-0.606359)
(0.279697,-0.380428,0.881501)
(0.100145,0.024519,-0.994671)
(0.347165,0.564369,-0.748975)
