# data;
param n := 71;
param t :=
1 0 9 2 17 3 25 8 33 16 41 22 49 27 57 29 65 33
2 0 10 2 18 3 26 9 34 17 42 22 50 27 58 30 66 34
3 1 11 2 19 4 27 9 35 18 43 23 51 28 59 30 67 34
4 1 12 2 20 4 28 11 36 18 44 23 52 28 60 31 68 37
5 1 13 2 21 4 29 13 37 19 45 24 53 28 61 31 69 37
6 1 14 2 22 5 30 13 38 20 46 25 54 28 62 31 70 39
7 1 15 2 23 6 31 15 39 20 47 25 55 28 63 32 71 41
8 1 16 2 24 7 32 15 40 22 48 26 56 29 64 32;

param y :=
1 19 9 24 17 25 25 41 33 100 41 145 49 200 57 220 65 261
2 20 10 25 18 24 26 50 34 110 42 157 50 210 58 248 66 270
3 19 11 24 19 29 27 56 35 123 43 185 51 225 59 230 67 250
4 19 12 22 20 30 28 70 36 120 44 142 52 210 60 240 68 275
5 20 13 22 21 30 29 75 37 126 45 190 53 205 61 235 69 280
6 20 14 23 22 29 30 54 38 145 46 180 54 215 62 218 70 270
7 21 15 21 23 29 31 90 39 130 47 177 55 210 63 215 71 300
8 21 16 27 24 30 32 95 40 160 48 175 56 210 64 247;
