(1.000000, 0.000000)
(1.000000, 0.698064)
(1.000000, 1.396129)
(0.242958, 1.902513)
(0.129383, 1.902513)
(0.128467, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.128468, 1.902513)
(0.127869, 1.902513)
(0.970037, 1.902513)
(0.970037, 2.522053)
(0.970037, 3.141593)
(0.000000, 3.141593)
