(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(0.000107, 0.000000)
(1.000000, 0.000000)
(1.000000, 0.785398)
(1.000000, 1.570797)
(1.000000, 2.356195)
(1.000000, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000787, 3.141593)
(0.000000, 3.141593)
